[("https://www.mulinolab301.com/prodotto/il-grano-tenero-biologico-lab-selection/", 'product', "Il Grano Tenero Biologico Lab Selection", "Food"),
("http://www.pcelec.cn/Slow-juicer_p934.html", 'product', "Slow Juicer", "Kitchen Appliances"),
("https://www.phida-lighting.com/PH-LED600-1530-pd40562459.html", 'product', "PH-LED600-1530", "Lighting"),
("https://www.polylighting.net/en/eclairage-piscine/174-spot-encastre-inox-93w-power-led-24vdc.html", 'product', "Spot Encastré Inox 9.3W Power LED 24VDC", "Pool Lighting"),
("http://www.mingleehk.com/index.php?route=product/product&product_id=576", 'product', "Product ID 576", "General"),
("https://www.wtcmachinery.com/products/hydraulic-cylinder-repair-stands/hcrs-1c-medium-duty", 'product', "HCRS-1C Medium Duty Hydraulic Cylinder Repair Stand", "Machinery"),
("https://www.linearcircle.com/product/venture-line-vintage-atomic-egg-chair-bluetooth-enabled", 'product', "Venture Line Vintage Atomic Egg Chair Bluetooth Enabled", "Furniture"),
("https://www.sellosdegomaonline.com/sellos-para-ropa/?mobile=1", 'product', "Sellos Para Ropa", "Office Supplies"),
("https://www.trampoline-shop.de/trampolin/trampoline-360-366-cm.html", 'product', "Trampoline 360-366 cm", "Sports Equipment"),
("http://www.indiaunozero.it/catalogo/Fari-di-Ricerca-e-Perimetrali/Torri-Faro.aspx", 'product', "Torri Faro", "Lighting Equipment"),
("https://au.podandparcel.com/extras/fressko-bino-cup/fressko-bino-cup-snow", 'product', "Fressko Bino Cup Snow", "Drinkware"),
("https://www.sonpin.com.tw/product/14386?page=1", 'product', "Product ID 14386", "Electronics"),
("https://amionindia.com/product-category/fogging-machine/", 'product', None, "Machinery"),
("https://pcelec.cn/injection-line.html", 'none', None, None),
("https://arkpol.org.pl/index.php/o-firmie", 'none', None, None),
("https://dks.com.vn/article.asp?id=103&vong-bi-ntn-chinh-hang.html", 'none', None, None),
("https://www.coastlinecomposites.com/market/frp-commuter-rail/frp-ada-accessibility-rail-platforms/", 'none', None, None),
("https://www.gewaechshausprofi.com/hochbeet-anlegen-guenstig-schichten-garten-gemuese/", 'none', None, None),
("https://www.toconeos.cz/luzkoviny-z-ovci-vlny-francouzska-deka-basic-wool:dotaz/", 'none', None, None),
("https://www.templari.com/documentazione/page/6/?orderby=file&orderdir=desc", 'none', None, None),
("http://ampeg.com.cn/report/", 'none', None, None),
("http://www.indiaunozero.it/catalogo/Faretti-Lampeggianti.aspx", 'none', None, None),
("https://www.armonia-shop.ch/Faerbende-Lebensmittel/", 'none', None, None),
("https://craveforride.com/pages/retailers-list", 'none', None, None),
("https://zo-on.is/collections/black-label", 'none', None, None)]
("http://www.indiaunozero.it/catalogo/Barre-Lampeggianti-Ambra.aspx", "none", "", "")
("https://hardyshapes.com/collections/all-boards/products/lilly-pollard-blue-nrg", "product", "Lilly Pollard Blue NRG", "all-boards")
("https://www.bigmikes.de/tonka-vanillezucker", "none", "", "")
("https://everjoys.com/tags/index.html", "none", "", "")
("https://www.copperchef.com.tw/products/kc20016-23200", "product", "kc20016-23200", "products")
("https://www.arteck-design.fr/seminaire-annuel-2023/", "none", "", "")
("https://africandreamfoods.com/products/spicy-yet-sweet-variety-3-pack", "product", "Spicy Yet Sweet Variety 3-Pack", "products")
("https://jonnarcisso.com/products/i-have-an-attitude-problem", "product", "I Have An Attitude Problem", "products")
("https://reverendbow.wordpress.com/tag/wilson-1000/", "none", "", "")
("https://www.japan-star.com/wash_pro", "none", "", "")
("https://www.bobscustomplates.com/product-page/prs-usa-backplate-tremolo-and-truss-set", "product", "PRS USA Backplate Tremolo and Truss Set", "product-page")
